DATE,NumTrips,PRCP,AWND,TAVG
2017-01-01,4063,0,4.25,47
2017-01-02,1638,0.35,7.83,44
2017-01-03,3771,0.86,5.82,44
2017-01-04,7185,0,9.84,48
2017-01-05,6214,0,6.49,35
2017-01-06,5570,0,12.3,33
2017-01-07,1809,0.01,14.76,25
2017-01-08,1920,0,14.32,20
2017-01-09,4617,0,8.5,21
2017-01-10,5606,0,12.08,27
2017-01-11,7267,0.07,9.4,44
2017-01-12,9091,0.02,18.57,57
2017-01-13,8031,0,12.53,56
2017-01-14,1864,0.29,4.92,39
2017-01-15,5348,0,5.82,40
2017-01-16,4485,0.01,5.59,41
2017-01-17,5574,0.21,4.92,44
2017-01-18,7345,0,11.18,51
2017-01-19,7376,0,6.26,48
2017-01-20,5566,0.01,3.58,44
2017-01-21,8157,0,5.14,48
2017-01-22,4066,0.15,8.5,49
2017-01-23,2905,0.67,21.92,47
2017-01-24,7389,0.03,15.21,42
2017-01-25,9024,0,6.04,51
2017-01-26,8047,0,11.63,52
2017-01-27,6887,0,14.32,43
2017-01-28,5555,0,8.05,40
2017-01-29,5250,0,6.93,41
2017-01-30,5420,0.07,10.07,36
2017-01-31,7764,0,8.72,39
2017-02-01,8231,0,5.37,43
2017-02-02,7649,0,8.05,46
2017-02-03,6543,0,10.96,37
2017-02-04,4807,0,9.84,32
2017-02-05,5489,0,9.62,40
2017-02-06,8399,0,7.61,45
2017-02-07,9796,0,13.2,56
2017-02-08,10619,0,9.84,63
2017-02-09,5369,0.12,20.8,43
2017-02-10,5974,0,11.41,30
2017-02-11,6821,0,5.14,42
2017-02-12,4723,0.03,9.4,48
2017-02-13,6364,0,18.57,45
2017-02-14,7409,0,6.93,38
2017-02-15,7485,0,10.51,43
2017-02-16,6427,0,13.42,37
2017-02-17,7282,0,4.03,37
2017-02-18,10726,0,6.71,45
2017-02-19,12350,0.01,9.17,61
2017-02-20,10058,0,6.93,58
2017-02-21,8815,0,6.93,50
2017-02-22,9659,0,6.71,51
2017-02-23,11744,0,10.29,60
2017-02-24,12959,0,10.51,64
2017-02-25,8174,0.18,14.54,63
2017-02-26,6339,0,11.18,44
2017-02-27,8264,0,6.49,45
2017-02-28,7828,0.34,4.92,55
2017-03-01,8977,0.02,17.22,63
2017-03-02,8134,0.01,17.9,54
2017-03-03,6741,0,14.54,40
2017-03-04,5283,0,12.3,35
2017-03-05,4999,0,7.61,32
2017-03-06,8583,0,6.26,41
2017-03-07,8383,0.07,10.29,56
2017-03-08,10971,0.01,12.53,59
2017-03-09,12406,0,9.17,60
2017-03-10,5998,0.09,15.66,49
2017-03-11,5116,0,14.54,33
2017-03-12,4621,0,11.18,33
2017-03-13,6470,0.34,9.84,35
2017-03-14,1583,0.89,21.25,34
2017-03-15,3359,0,18.34,27
2017-03-16,5179,0,11.18,33
2017-03-17,7207,0.01,6.04,40
2017-03-18,8245,0.37,7.38,46
2017-03-19,5689,0.26,14.32,44
2017-03-20,9303,0,6.71,46
2017-03-21,10612,0,6.71,52
2017-03-22,8313,0,16.55,51
2017-03-23,8616,0,7.61,38
2017-03-24,9086,0.13,13.2,45
2017-03-25,16191,0,8.5,63
2017-03-26,6621,0,11.41,53
2017-03-27,11367,0.01,4.7,54
2017-03-28,10444,0.02,8.05,65
2017-03-29,12787,0,10.96,62
2017-03-30,10324,0,9.17,52
2017-03-31,3793,0.96,9.17,49
