aisle_id,num_items,aisle
1,2679,prepared soups salads
2,3801,specialty cheeses
3,15134,energy granola bars
4,8539,instant foods
5,2623,marinades meat preparation
6,1703,other
7,1079,packaged meat
8,1498,bakery desserts
9,7984,pasta sauce
10,448,kitchen supplies
11,1342,cold flu allergy
12,1437,fresh pasta
13,4010,prepared meals
14,2546,tofu meat alternatives
15,909,packaged seafood
16,5339,fresh herbs
17,10529,baking ingredients
18,585,bulk dried fruits vegetables
19,7852,oils vinegars
20,3056,oral hygiene
21,34326,packaged cheese
22,1462,hair care
23,6350,popcorn jerky
24,75696,fresh fruits
25,2711,soap
26,7790,coffee
27,1828,beers coolers
28,1235,red wines
29,1574,honeys syrups nectars
30,3212,latino foods
31,18701,refrigerated
32,13252,packaged produce
33,628,kosher foods
34,2830,frozen meat seafood
35,3926,poultry counter
36,8975,butter
37,21419,ice cream ice
38,16350,frozen meals
39,1084,seafood counter
40,1569,dog food care
41,2876,cat food care
42,4651,frozen vegan vegetarian
43,4951,buns rolls
44,547,eye ear care
45,9171,candy chocolate
46,959,mint gum
47,1826,vitamins supplements
48,2916,breakfast bars pastries
49,5321,packaged poultry
50,4340,fruit vegetable snacks
51,4210,preserved dips spreads
52,7236,frozen breakfast
53,8465,cream
54,12694,paper goods
55,527,shave needs
56,1109,diapers wipes
57,2835,granola
58,1455,frozen breads doughs
59,6595,canned meals beans
60,1621,trash bags liners
61,9853,cookies cakes
62,1084,white wines
63,2976,grains rice dried goods
64,4536,energy sports drinks
65,1363,protein meal replacements
66,5688,asian foods
67,13965,fresh dips tapenades
68,144,bulk grains rice dried goods
69,6906,soup broth bouillon
70,1018,digestion
71,1575,refrigerated pudding desserts
72,7111,condiments
73,744,facial care
74,3870,dish detergents
75,4636,laundry
76,719,indian foods
77,16147,soft drinks
78,16543,crackers
79,6962,frozen pizza
80,841,deodorants
81,7147,canned jarred vegetables
82,306,baby accessories
83,77468,fresh vegetables
84,15315,milk
85,2906,food storage
86,9828,eggs
87,890,more household
88,9762,spreads
89,3916,salad dressing toppings
90,1043,cocoa drink mixes
91,19272,soy lactosefree
92,7215,baby food formula
93,8524,breakfast bakery
94,7159,tea
95,3219,canned meat seafood
96,14044,lunch meat
97,1036,baking supplies decor
98,9987,juice nectars
99,2650,canned fruit applesauce
100,5060,missing
101,1065,air fresheners candles
102,325,baby bath body care
103,391,ice cream toppings
104,7282,spices seasonings
105,4624,doughs gelatins bake mixes
106,10327,hot dogs bacon sausage
107,27930,chips pretzels
108,9907,other creams cheeses
109,528,skin care
110,4267,pickled goods olives
111,1959,plates bowls cups flatware
112,18154,bread
113,238,frozen juice
114,5886,cleaning products
115,36377,water seltzer sparkling water
116,13237,frozen produce
117,9173,nuts seeds dried fruit
118,534,first aid
119,900,frozen dessert
120,44710,yogurt
121,13369,cereal
122,3122,meat counter
123,30363,packaged vegetables fruits
124,966,spirits
125,1116,trail mix snack mix
126,895,feminine care
127,2134,body lotions soap
128,7296,tortillas flat bread
129,8228,frozen appetizers sides
130,4848,hot cereal pancake mixes
131,8498,dry pasta
132,244,beauty
133,895,muscles joints pain relief
134,461,specialty wines champagnes
