order_id,product_id,add_to_cart_order,reordered
10853,33120,2,1
112647,33120,8,1
207058,33120,1,1
521908,33120,6,1
522668,33120,1,1
532344,33120,2,1
682441,33120,2,1
708663,33120,9,0
810899,33120,13,1
829524,33120,3,1
924325,33120,11,1
1016933,33120,2,1
1072227,33120,1,1
1159841,33120,8,1
1224175,33120,4,1
1302947,33120,7,1
1351246,33120,8,1
1356905,33120,14,1
1473720,33120,9,1
1485969,33120,5,1
1504016,33120,2,0
1548407,33120,6,1
1560215,33120,7,1
1582545,33120,9,0
1601415,33120,14,1
1648047,33120,9,1
1769159,33120,11,0
1871484,33120,2,1
1885555,33120,8,1
1999366,33120,9,0
2151808,33120,6,0
2460022,33120,5,1
2513754,33120,2,1
2554033,33120,8,1
2933870,33120,4,0
2981148,33120,1,0
3188199,33120,3,1
3330009,33120,4,1
3377013,33120,1,1
3393867,33120,38,0
3399220,33120,6,1
140564,23341,4,1
397519,23341,5,0
468994,23341,12,1
1165083,23341,1,1
1171266,23341,6,0
1501702,23341,7,0
1555884,23341,1,1
1711196,23341,3,1
1931588,23341,17,1
2452784,23341,3,0
2666154,23341,5,1
3316192,23341,7,1
3384914,23341,6,1
234302,6383,3,1
1080191,6383,1,1
1203540,6383,4,1
2804827,6383,7,0
2833697,6383,1,1
2877480,6383,1,1
3413607,6383,12,0
88543,11520,1,1
112647,11520,7,1
170257,11520,7,1
211498,11520,2,1
240924,11520,5,1
286723,11520,11,1
323233,11520,2,1
342101,11520,1,1
375384,11520,9,1
392568,11520,2,0
404393,11520,4,1
517637,11520,1,1
570293,11520,7,1
618569,11520,11,0
677772,11520,8,0
799870,11520,2,1
838444,11520,1,1
902115,11520,4,0
940212,11520,3,1
945476,11520,3,1
1026372,11520,3,1
1144689,11520,2,1
1300467,11520,6,1
1354422,11520,2,1
1483525,11520,1,1
1486875,11520,7,1
1491891,11520,13,1
1505080,11520,10,1
1548566,11520,20,1
1582545,11520,8,0
1619976,11520,3,1
1681558,11520,3,1
1751848,11520,14,0
1816341,11520,1,0
1897127,11520,3,0
1912111,11520,9,1
1912765,11520,7,1
1966286,11520,1,1
2019710,11520,2,1
2027192,11520,4,1
2045520,11520,2,1
2170617,11520,3,1
2313424,11520,2,1
2315307,11520,13,1
2533936,11520,10,1
2624204,11520,13,0
2642057,11520,11,1
2658623,11520,2,1
2758086,11520,1,1
2766572,11520,9,0
2802373,11520,2,1
2821412,11520,4,1
2920092,11520,6,1
3044337,11520,9,1
3057933,11520,3,1
3080694,11520,6,0
3105237,11520,1,0
3206573,11520,11,0
