order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order
2281065,108077,8,6,16,14
3407099,195027,8,2,14,7
2106016,94462,2,0,18,29
1222212,141637,66,2,13,4
2571664,119478,28,1,8,6
352193,107560,6,5,15,30
2432274,64963,3,5,19,26
2210081,128646,15,2,12,29
3122676,179917,17,2,11,0
1352217,2033,4,3,22,5
1856980,158912,12,2,14,2
2092157,144606,5,5,18,18
2515112,52383,36,1,18,1
1697363,38353,6,5,18,1
2860602,155157,2,6,14,17
2264419,112899,13,3,13,10
1083977,50294,5,6,19,4
854559,174361,6,5,1,8
1398760,52127,21,3,9,19
1581419,183679,14,6,10,4
2549969,38593,11,1,7,27
2250871,79847,3,1,10,30
651632,157549,21,0,17,2
2257194,33654,2,4,15,20
881777,116472,4,1,10,5
382687,154186,23,1,8,8
793255,135598,10,6,15,30
3325385,154501,3,0,14,21
3006175,105319,44,6,15,4
116551,102606,6,2,14,15
2992440,126128,10,6,14,30
3335310,99955,1,1,7,
1598196,125246,8,6,17,7
2204533,25645,12,1,9,30
90188,131080,20,6,20,8
2974711,168068,15,1,15,5
2210039,60193,6,2,10,14
3254291,161703,18,4,15,3
3354332,4596,28,6,19,5
3092464,163782,39,0,9,1
2596298,103383,17,1,8,10
924484,205924,6,3,15,2
1714314,124979,1,1,16,
1123848,170584,57,5,13,5
810645,128483,2,6,7,1
207178,167273,5,0,13,4
1958575,169071,72,0,9,1
2076606,61117,4,4,19,11
1010626,59095,30,6,9,9
1863959,89514,4,0,16,27
1946546,198196,36,2,11,8
3094582,104490,5,0,7,26
2858573,42270,8,1,17,0
1131425,175304,16,3,16,3
2717217,142182,33,5,18,6
146235,38602,13,4,11,16
1096988,168120,9,4,13,21
2060471,144700,14,3,8,2
3120537,201082,12,0,10,4
1286871,87000,4,2,13,10
1711196,40033,7,0,17,5
2791092,175340,3,0,22,9
3049620,169988,5,0,15,2
362023,149641,9,0,21,30
3065489,134579,5,6,18,6
2327526,131836,2,1,11,30
2796120,107,6,5,22,23
3118036,174300,3,2,20,23
961492,175646,20,3,9,1
2081802,87217,16,2,20,16
2066405,30644,2,2,12,30
1934462,201385,15,1,11,6
908421,169562,2,5,14,30
3274514,200322,4,5,12,30
1847416,29243,31,3,18,14
2787061,138060,5,4,7,22
1259055,152365,25,6,17,2
2995616,45911,38,1,19,5
3195806,166374,39,2,11,3
1098190,72667,14,3,14,1
2411635,34948,9,3,16,6
2613157,143198,44,3,14,4
975630,22643,11,5,9,2
1440734,199289,22,0,17,1
548193,109356,17,3,13,5
496909,107580,23,4,12,10
2058334,181017,14,3,13,30
268988,114925,18,1,11,14
1774147,32411,4,5,17,14
2357122,144958,27,5,9,7
729156,189831,14,2,13,27
2850792,74532,28,3,11,2
2414588,4885,11,4,8,5
2574905,185021,20,0,14,7
1603497,178889,32,1,13,4
2357737,152316,53,3,7,7
3346787,186364,1,1,12,
3371677,135416,10,2,10,8
833858,70339,26,1,13,3
1966729,173775,20,5,21,5
3080775,166665,24,5,20,5
2542912,137582,38,1,16,23
658538,62541,27,2,13,8
768061,158959,15,2,12,5
261051,197545,6,5,17,30
1382724,92090,16,3,15,16
195710,53658,3,3,17,9
2085348,10241,2,0,16,13
983318,73042,68,2,9,4
338864,112544,3,4,12,5
2155539,47531,8,6,19,5
401190,164055,14,2,14,3
188680,90796,1,5,16,
3189074,114838,1,1,8,
2552542,81281,17,1,13,20
2223643,146936,2,1,14,30
425250,15458,3,1,9,18
2004261,174082,5,3,22,12
2135011,55198,4,3,22,18
2351661,173470,13,0,11,3
2027756,65039,14,5,8,4
2533496,76049,8,4,14,9
820737,102743,10,6,10,14
68066,1537,58,5,16,7
409513,84702,2,5,8,3
2819876,162139,10,2,13,1
977352,56741,5,1,13,29
2990315,134980,8,0,8,30
531862,196390,2,1,14,30
257011,87155,1,2,18,
3308527,182130,21,1,16,1
2383222,95338,83,5,18,6
660287,109050,14,1,16,6
1851057,160297,54,1,20,3
3061340,43246,5,2,7,9
389072,161116,5,0,12,7
1361360,106334,1,0,17,
1062572,128964,4,3,21,21
293010,60924,11,4,13,5
2154927,36950,2,0,19,23
3209783,61438,5,5,6,6
2624446,94441,9,3,8,16
1302947,178290,10,6,11,1
546126,79923,32,6,8,10
696119,97832,6,3,12,30
2101396,24475,4,3,6,10
611029,147980,29,3,16,3
2757267,82229,19,0,15,7
2161734,131376,16,0,23,13
1055959,161002,11,2,21,5
1184864,105063,51,3,14,1
2658424,28159,35,6,12,5
2891013,121378,7,1,8,18
1605635,187695,2,1,13,7
285085,75308,14,0,17,7
1155484,86061,37,3,0,2
3291991,186728,3,1,13,14
1909920,29255,4,3,11,30
2184186,112626,3,4,15,2
112026,141386,10,1,16,30
2710611,122408,6,2,16,22
3353332,28476,52,4,9,1
366440,180453,5,2,19,23
2343714,16480,7,5,17,13
1474933,55103,7,0,21,1
2856532,64213,13,2,14,12
3200439,65507,1,3,10,
2371705,81827,37,0,15,7
2374673,31604,15,1,12,8
561028,90315,9,3,17,8
3412620,104207,34,1,17,11
3057933,187985,19,1,11,30
2390801,186311,1,0,8,
3253038,82699,4,3,12,19
2908482,79408,13,1,8,14
3418430,167496,31,1,17,6
1138389,135381,31,1,12,4
1722743,182558,62,4,13,4
3101513,24906,10,0,16,13
894263,156650,44,6,19,15
1165083,49795,3,5,12,30
1071687,190251,14,1,10,7
2624752,135861,10,2,14,30
703719,51201,9,5,11,26
1076657,175391,18,1,13,11
2511449,119647,5,2,8,1
2942003,26250,33,6,18,2
101518,167163,6,2,8,30
2801973,29753,7,2,16,30
2995321,164569,5,0,13,30
1102092,141782,1,3,10,
582291,182282,47,5,18,0
2904699,113697,13,1,13,3
112731,85877,3,6,22,30
2098045,87629,7,6,13,8
1377701,7709,18,3,12,15
1887251,176720,18,4,9,12
1503779,85716,17,0,10,20
15810,181070,22,5,8,1
1307545,134075,10,0,16,13
1367959,3888,8,1,13,4
549536,142964,59,0,13,5
811121,173917,10,4,16,6
2304699,66181,34,3,16,6
2918167,28476,57,5,11,1
827338,174390,8,1,17,5
1106396,106934,14,3,17,19
2025889,128771,11,3,15,4
2334129,125704,12,4,17,8
1904004,21590,6,2,16,6
1796874,21052,27,5,12,16
773290,57288,11,0,10,8
2416160,116138,6,3,16,30
3173712,54369,87,5,7,3
2629242,90579,3,0,19,0
3248845,72521,10,5,19,9
705165,36651,19,0,13,8
114729,55856,19,0,12,3
1022088,118025,2,5,14,21
1860533,77737,6,3,15,4
129552,11566,6,0,9,19
1061638,180421,15,6,13,7
3006094,126984,15,0,9,7
3111418,66692,1,6,14,
932287,55618,13,0,16,14
1515961,157518,4,0,14,8
1763898,62479,3,5,16,30
392359,189304,17,1,10,4
39554,45053,3,0,11,21
1272818,139397,4,2,6,30
1861809,186480,27,2,9,4
2119130,190420,2,5,15,30
3322471,123251,1,1,16,
2981303,176072,4,4,16,5
2449338,110490,7,4,12,5
1613464,47079,8,1,10,4
57842,128378,7,0,14,13
649900,81663,13,5,13,6
460832,78554,2,0,9,7
1011827,21240,62,3,15,1
1079485,108935,32,0,14,0
572029,135081,11,3,11,3
2762805,40486,27,3,18,9
1947607,190652,2,1,19,6
1869814,98855,21,4,0,12
2703320,26053,27,1,11,19
891602,160042,31,3,12,5
1852548,141854,11,5,14,5
2543399,18632,51,5,9,6
1162318,111578,11,2,16,1
3072088,9816,29,3,14,4
787129,82950,3,5,17,17
1582545,86394,5,5,14,30
1115500,13177,5,0,14,20
1087743,115160,1,4,20,
2755786,68926,2,2,10,6
871503,44544,4,0,13,8
970501,110652,35,3,15,22
2372553,146725,2,2,12,13
447746,103147,1,2,13,
296002,117203,29,5,19,19
1598185,66359,4,0,7,30
2268511,41524,4,1,18,7
2597700,172451,22,0,10,21
2338227,116211,24,3,11,12
1071218,114540,12,2,16,0
3209839,93203,7,0,11,21
2416038,3163,10,1,11,22
2467119,194605,53,5,1,2
1129561,118778,18,0,1,7
2685685,116245,16,3,10,22
1555884,26754,2,5,16,13
1223611,5589,18,1,12,6
1502895,83158,6,2,10,15
2492961,73744,4,3,19,26
657960,101604,4,0,14,30
444551,184822,13,0,14,0
2799031,114783,53,6,20,3
3046929,176102,13,6,12,30
1133963,101739,33,2,10,19
761986,172827,31,4,17,17
2161823,35826,1,4,22,
2173880,169662,7,0,10,2
2364689,130682,11,5,13,2
3227846,116635,16,5,16,13
2533164,20339,31,0,10,7
1591310,38336,2,5,16,8
1106732,180958,3,1,12,6
250578,41698,30,4,13,3
241039,15742,17,0,8,6
2429538,74059,2,2,21,16
1948366,60974,1,2,13,
2195091,171107,3,3,15,13
2012342,197328,16,0,13,2
265477,180583,84,0,14,4
437053,39947,8,1,8,7
1156314,202945,24,4,15,7
149099,199220,11,5,18,7
2423038,109722,28,4,9,7
489257,147834,88,4,21,4
1428761,70955,19,1,10,6
1126847,200550,35,4,19,10
1689791,98012,3,5,13,30
425890,5003,55,4,2,3
891762,143412,11,0,13,30
1109569,160066,1,4,9,
550316,197829,35,4,9,2
3411736,153472,5,0,16,30
2546481,137453,60,6,15,1
2038458,95472,1,1,9,
