timestamp,project,article,granularity,access,agent,view
2023-08-26,en.wikipedia,Dog,daily,all-access,user,9391
2023-08-27,en.wikipedia,Dog,daily,all-access,user,9956
2023-08-28,en.wikipedia,Dog,daily,all-access,user,11052
2023-08-29,en.wikipedia,Dog,daily,all-access,user,11307
2023-08-30,en.wikipedia,Dog,daily,all-access,user,11731
2023-08-31,en.wikipedia,Dog,daily,all-access,user,13164
2023-09-01,en.wikipedia,Dog,daily,all-access,user,17363
2023-09-02,en.wikipedia,Dog,daily,all-access,user,20887
2023-09-03,en.wikipedia,Dog,daily,all-access,user,29526
2023-09-04,en.wikipedia,Dog,daily,all-access,user,17136
2023-09-05,en.wikipedia,Dog,daily,all-access,user,11963
2023-09-06,en.wikipedia,Dog,daily,all-access,user,12350
2023-09-07,en.wikipedia,Dog,daily,all-access,user,11956
2023-09-08,en.wikipedia,Dog,daily,all-access,user,11747
2023-09-09,en.wikipedia,Dog,daily,all-access,user,9116
2023-09-10,en.wikipedia,Dog,daily,all-access,user,9359
2023-09-11,en.wikipedia,Dog,daily,all-access,user,10436
2023-09-12,en.wikipedia,Dog,daily,all-access,user,10666
2023-09-13,en.wikipedia,Dog,daily,all-access,user,10747
2023-09-14,en.wikipedia,Dog,daily,all-access,user,11079
2023-09-15,en.wikipedia,Dog,daily,all-access,user,12023
2023-09-16,en.wikipedia,Dog,daily,all-access,user,14223
2023-09-17,en.wikipedia,Dog,daily,all-access,user,14608
2023-09-18,en.wikipedia,Dog,daily,all-access,user,12452
2023-09-19,en.wikipedia,Dog,daily,all-access,user,13251
2023-09-20,en.wikipedia,Dog,daily,all-access,user,12798
2023-09-21,en.wikipedia,Dog,daily,all-access,user,13153
2023-09-22,en.wikipedia,Dog,daily,all-access,user,11101
2023-09-23,en.wikipedia,Dog,daily,all-access,user,9379
2023-09-24,en.wikipedia,Dog,daily,all-access,user,9681
2023-09-25,en.wikipedia,Dog,daily,all-access,user,11226
2023-09-26,en.wikipedia,Dog,daily,all-access,user,11844
2023-09-27,en.wikipedia,Dog,daily,all-access,user,12189
2023-09-28,en.wikipedia,Dog,daily,all-access,user,12239
2023-09-29,en.wikipedia,Dog,daily,all-access,user,10995
2023-09-30,en.wikipedia,Dog,daily,all-access,user,10052
2023-10-01,en.wikipedia,Dog,daily,all-access,user,11130
2023-10-02,en.wikipedia,Dog,daily,all-access,user,12092
2023-10-03,en.wikipedia,Dog,daily,all-access,user,11843
2023-10-04,en.wikipedia,Dog,daily,all-access,user,12134
2023-10-05,en.wikipedia,Dog,daily,all-access,user,13602
2023-10-06,en.wikipedia,Dog,daily,all-access,user,13695
2023-10-07,en.wikipedia,Dog,daily,all-access,user,10256
2023-10-08,en.wikipedia,Dog,daily,all-access,user,10311
2023-10-09,en.wikipedia,Dog,daily,all-access,user,10866
2023-10-10,en.wikipedia,Dog,daily,all-access,user,11182
2023-10-11,en.wikipedia,Dog,daily,all-access,user,10933
2023-10-12,en.wikipedia,Dog,daily,all-access,user,13299
2023-10-13,en.wikipedia,Dog,daily,all-access,user,12983
2023-10-14,en.wikipedia,Dog,daily,all-access,user,11332
2023-10-15,en.wikipedia,Dog,daily,all-access,user,10462
2023-10-16,en.wikipedia,Dog,daily,all-access,user,10908
2023-10-17,en.wikipedia,Dog,daily,all-access,user,12708
2023-10-18,en.wikipedia,Dog,daily,all-access,user,12537
2023-10-19,en.wikipedia,Dog,daily,all-access,user,11804
2023-10-20,en.wikipedia,Dog,daily,all-access,user,11285
2023-10-21,en.wikipedia,Dog,daily,all-access,user,9279
2023-10-22,en.wikipedia,Dog,daily,all-access,user,9741
2023-10-23,en.wikipedia,Dog,daily,all-access,user,11554
2023-10-24,en.wikipedia,Dog,daily,all-access,user,12011
2023-10-25,en.wikipedia,Dog,daily,all-access,user,11857
